AUC,high,low
"[0.60050499072868579, 0.63722554890219563]",3.5,0.6
"[0.63722554890219563, 0.56469075812614988]",3.5,0.6
"[0.60652148183216958, 0.57095517648796335]",3.5,0.3
"[0.59282163569653212, 0.5370757040368348]",3.4,0.3
"[0.5370757040368348, 0.58698164834646416]",3.5,0.3
"[0.65022905177014756, 0.63722554890219563]",3.5,0.6
"[0.5347866419294991, 0.48250226426486875]",3.5,0.6
"[0.60652148183216958, 0.57095517648796335]",3.5,0.3
"[0.60050499072868579, 0.63722554890219563]",3.5,0.6
"[0.65022905177014756, 0.56469075812614988]",3.5,0.6
